"doc_id","date","quarter","phase","statement_type","text"
"ECB_20151007_pol",2015-10-07,"2015 Q4","low_rate","policy_statement","business investment has strengthened gradually. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring. geopolitical uncertainties continue to pose downside risks"
"ECB_20151020_acc",2015-10-20,"2015 Q4","low_rate","account","business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. risks to the growth outlook remain broadly balanced"
"ECB_20160119_pre",2016-01-19,"2016 Q1","low_rate","press_conf","domestic demand remains the main driver of growth. economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. inflation remains well below our target of two percent. we reaffirm our forward guidance on the key interest rates. risks to the growth outlook remain broadly balanced"
"ECB_20160116_pol",2016-01-16,"2016 Q1","low_rate","policy_statement","economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty. risks to the growth outlook remain broadly balanced"
"ECB_20160102_acc",2016-01-02,"2016 Q1","low_rate","account","growth momentum remains resilient despite global uncertainties. economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. underlying inflation continues to lack a convincing upward trend. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring"
"ECB_20160423_pre",2016-04-23,"2016 Q2","low_rate","press_conf","business investment has strengthened gradually. growth momentum remains resilient despite global uncertainties. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. net asset purchases will continue as long as necessary. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced"
"ECB_20160401_pol",2016-04-01,"2016 Q2","low_rate","policy_statement","economic recovery continues at a moderate pace. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. global trade tensions have increased uncertainty"
"ECB_20160403_acc",2016-04-03,"2016 Q2","low_rate","account","business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. we reaffirm our forward guidance on the key interest rates. protectionist threats warrant close monitoring"
"ECB_20160728_pre",2016-07-28,"2016 Q3","low_rate","press_conf","the euro area economy expanded in line with expectations. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring. geopolitical uncertainties continue to pose downside risks"
"ECB_20160711_pol",2016-07-11,"2016 Q3","low_rate","policy_statement","economic recovery continues at a moderate pace. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty"
"ECB_20160713_acc",2016-07-13,"2016 Q3","low_rate","account","economic recovery continues at a moderate pace. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. our asset purchase programme continues at the current monthly pace. global trade tensions have increased uncertainty"
"ECB_20161024_pre",2016-10-24,"2016 Q4","low_rate","press_conf","economic recovery continues at a moderate pace. the euro area economy expanded in line with expectations. inflation remains well below our target of two percent. the accommodative monetary policy stance supports the recovery. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring. global trade tensions have increased uncertainty"
"ECB_20161009_pol",2016-10-09,"2016 Q4","low_rate","policy_statement","growth momentum remains resilient despite global uncertainties. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the governing council decided to keep interest rates unchanged. the accommodative monetary policy stance supports the recovery. geopolitical uncertainties continue to pose downside risks"
"ECB_20161010_acc",2016-10-10,"2016 Q4","low_rate","account","economic recovery continues at a moderate pace. underlying inflation continues to lack a convincing upward trend. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring"
"ECB_20170127_pre",2017-01-27,"2017 Q1","low_rate","press_conf","business investment has strengthened gradually. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. net asset purchases will continue as long as necessary. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring"
"ECB_20170115_pol",2017-01-15,"2017 Q1","low_rate","policy_statement","business investment has strengthened gradually. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring"
"ECB_20170118_acc",2017-01-18,"2017 Q1","low_rate","account","domestic demand remains the main driver of growth. economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. geopolitical uncertainties continue to pose downside risks. risks to the growth outlook remain broadly balanced"
"ECB_20170421_pre",2017-04-21,"2017 Q2","low_rate","press_conf","the euro area economy expanded in line with expectations. economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the accommodative monetary policy stance supports the recovery. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty"
"ECB_20170411_pol",2017-04-11,"2017 Q2","low_rate","policy_statement","domestic demand remains the main driver of growth. growth momentum remains resilient despite global uncertainties. inflation remains well below our target of two percent. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty"
"ECB_20170425_acc",2017-04-25,"2017 Q2","low_rate","account","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. geopolitical uncertainties continue to pose downside risks"
"ECB_20170721_pre",2017-07-21,"2017 Q3","low_rate","press_conf","the euro area economy expanded in line with expectations. growth momentum remains resilient despite global uncertainties. core inflation has yet to show sustained signs of convergence. we reaffirm our forward guidance on the key interest rates. global trade tensions have increased uncertainty"
"ECB_20170723_pol",2017-07-23,"2017 Q3","low_rate","policy_statement","domestic demand remains the main driver of growth. growth momentum remains resilient despite global uncertainties. inflation remains well below our target of two percent. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. protectionist threats warrant close monitoring"
"ECB_20170722_acc",2017-07-22,"2017 Q3","low_rate","account","the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. risks to the growth outlook remain broadly balanced"
"ECB_20171022_pre",2017-10-22,"2017 Q4","low_rate","press_conf","the euro area economy expanded in line with expectations. economic recovery continues at a moderate pace. inflation remains well below our target of two percent. our asset purchase programme continues at the current monthly pace. the accommodative monetary policy stance supports the recovery. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring"
"ECB_20171024_pol",2017-10-24,"2017 Q4","low_rate","policy_statement","economic recovery continues at a moderate pace. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the governing council decided to keep interest rates unchanged. net asset purchases will continue as long as necessary. geopolitical uncertainties continue to pose downside risks"
"ECB_20171012_acc",2017-10-12,"2017 Q4","low_rate","account","growth momentum remains resilient despite global uncertainties. underlying inflation continues to lack a convincing upward trend. price pressures remain subdued reflecting low energy prices. our asset purchase programme continues at the current monthly pace. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring. risks to the growth outlook remain broadly balanced"
"ECB_20180124_pre",2018-01-24,"2018 Q1","low_rate","press_conf","economic recovery continues at a moderate pace. growth momentum remains resilient despite global uncertainties. price pressures remain subdued reflecting low energy prices. our asset purchase programme continues at the current monthly pace. we reaffirm our forward guidance on the key interest rates. protectionist threats warrant close monitoring"
"ECB_20180129_pol",2018-01-29,"2018 Q1","low_rate","policy_statement","domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. we reaffirm our forward guidance on the key interest rates. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty"
"ECB_20180124_acc",2018-01-24,"2018 Q1","low_rate","account","growth momentum remains resilient despite global uncertainties. economic recovery continues at a moderate pace. inflation remains well below our target of two percent. we reaffirm our forward guidance on the key interest rates. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty"
"ECB_20180425_pre",2018-04-25,"2018 Q2","low_rate","press_conf","business investment has strengthened gradually. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. net asset purchases will continue as long as necessary. protectionist threats warrant close monitoring. geopolitical uncertainties continue to pose downside risks"
"ECB_20180419_pol",2018-04-19,"2018 Q2","low_rate","policy_statement","the euro area economy expanded in line with expectations. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. we reaffirm our forward guidance on the key interest rates. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks"
"ECB_20180418_acc",2018-04-18,"2018 Q2","low_rate","account","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. inflation remains well below our target of two percent. price pressures remain subdued reflecting low energy prices. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. global trade tensions have increased uncertainty"
"ECB_20180705_pre",2018-07-05,"2018 Q3","low_rate","press_conf","domestic demand remains the main driver of growth. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. risks to the growth outlook remain broadly balanced. protectionist threats warrant close monitoring"
"ECB_20180722_pol",2018-07-22,"2018 Q3","low_rate","policy_statement","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring"
"ECB_20180703_acc",2018-07-03,"2018 Q3","low_rate","account","economic recovery continues at a moderate pace. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. risks to the growth outlook remain broadly balanced"
"ECB_20181007_pre",2018-10-07,"2018 Q4","low_rate","press_conf","business investment has strengthened gradually. domestic demand remains the main driver of growth. inflation remains well below our target of two percent. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty"
"ECB_20181002_pol",2018-10-02,"2018 Q4","low_rate","policy_statement","business investment has strengthened gradually. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. risks to the growth outlook remain broadly balanced"
"ECB_20181015_acc",2018-10-15,"2018 Q4","low_rate","account","growth momentum remains resilient despite global uncertainties. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks"
"ECB_20190101_pre",2019-01-01,"2019 Q1","low_rate","press_conf","the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. we reaffirm our forward guidance on the key interest rates. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced"
"ECB_20190101_pol",2019-01-01,"2019 Q1","low_rate","policy_statement","economic recovery continues at a moderate pace. the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. we reaffirm our forward guidance on the key interest rates. protectionist threats warrant close monitoring"
"ECB_20190123_acc",2019-01-23,"2019 Q1","low_rate","account","economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. underlying inflation continues to lack a convincing upward trend. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring"
"ECB_20190407_pre",2019-04-07,"2019 Q2","low_rate","press_conf","domestic demand remains the main driver of growth. the euro area economy expanded in line with expectations. underlying inflation continues to lack a convincing upward trend. the governing council decided to keep interest rates unchanged. risks to the growth outlook remain broadly balanced. global trade tensions have increased uncertainty"
"ECB_20190331_pol",2019-03-31,"2019 Q1","low_rate","policy_statement","business investment has strengthened gradually. economic recovery continues at a moderate pace. inflation remains well below our target of two percent. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. we reaffirm our forward guidance on the key interest rates. geopolitical uncertainties continue to pose downside risks"
"ECB_20190429_acc",2019-04-29,"2019 Q2","low_rate","account","domestic demand remains the main driver of growth. the euro area economy expanded in line with expectations. underlying inflation continues to lack a convincing upward trend. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty"
"ECB_20190705_pre",2019-07-05,"2019 Q3","low_rate","press_conf","growth momentum remains resilient despite global uncertainties. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks"
"ECB_20190722_pol",2019-07-22,"2019 Q3","low_rate","policy_statement","economic recovery continues at a moderate pace. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring"
"ECB_20190720_acc",2019-07-20,"2019 Q3","low_rate","account","the euro area economy expanded in line with expectations. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. our asset purchase programme continues at the current monthly pace. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks"
"ECB_20191006_pre",2019-10-06,"2019 Q4","low_rate","press_conf","the euro area economy expanded in line with expectations. underlying inflation continues to lack a convincing upward trend. inflation remains well below our target of two percent. we reaffirm our forward guidance on the key interest rates. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced. protectionist threats warrant close monitoring"
"ECB_20191030_pol",2019-10-30,"2019 Q4","low_rate","policy_statement","economic recovery continues at a moderate pace. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks"
"ECB_20191006_acc",2019-10-06,"2019 Q4","low_rate","account","the euro area economy expanded in line with expectations. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. our asset purchase programme continues at the current monthly pace. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks"
"ECB_20200114_pre",2020-01-14,"2020 Q1","covid","press_conf","the pandemic has caused an unprecedented contraction in economic activity. the recovery remains incomplete and subject to high uncertainty. price developments remain very weak amid depressed demand. disinflationary pressures reflect the severity of the downturn. targeted longer term refinancing operations provide critical liquidity. downside risks related to the pandemic remain elevated. the severity and duration of the health crisis are highly uncertain"
"ECB_20200118_pol",2020-01-18,"2020 Q1","covid","policy_statement","the recovery remains incomplete and subject to high uncertainty. the economy faces severe disruption from containment measures. disinflationary pressures reflect the severity of the downturn. the PEPP envelope has been increased substantially. financial vulnerabilities have increased significantly. the outlook is subject to exceptionally high uncertainty"
"ECB_20200108_acc",2020-01-08,"2020 Q1","covid","account","the recovery remains incomplete and subject to high uncertainty. the pandemic has caused an unprecedented contraction in economic activity. inflation has fallen significantly due to the sharp decline in energy prices. disinflationary pressures reflect the severity of the downturn. the PEPP envelope has been increased substantially. the severity and duration of the health crisis are highly uncertain"
"ECB_20200409_pre",2020-04-09,"2020 Q2","covid","press_conf","the economy faces severe disruption from containment measures. output declined sharply as lockdown measures took effect. price developments remain very weak amid depressed demand. we will ensure favourable financing conditions throughout the pandemic. the outlook is subject to exceptionally high uncertainty. financial vulnerabilities have increased significantly"
"ECB_20200405_pol",2020-04-05,"2020 Q2","covid","policy_statement","the pandemic has caused an unprecedented contraction in economic activity. the economy faces severe disruption from containment measures. price developments remain very weak amid depressed demand. the governing council decided to launch the pandemic emergency purchase programme. the severity and duration of the health crisis are highly uncertain"
"ECB_20200410_acc",2020-04-10,"2020 Q2","covid","account","the economy faces severe disruption from containment measures. the recovery remains incomplete and subject to high uncertainty. disinflationary pressures reflect the severity of the downturn. we will ensure favourable financing conditions throughout the pandemic. the governing council decided to launch the pandemic emergency purchase programme. downside risks related to the pandemic remain elevated"
"ECB_20200723_pre",2020-07-23,"2020 Q3","covid","press_conf","the recovery remains incomplete and subject to high uncertainty. disinflationary pressures reflect the severity of the downturn. the governing council decided to launch the pandemic emergency purchase programme. downside risks related to the pandemic remain elevated. the outlook is subject to exceptionally high uncertainty"
"ECB_20200712_pol",2020-07-12,"2020 Q3","covid","policy_statement","the recovery remains incomplete and subject to high uncertainty. price developments remain very weak amid depressed demand. inflation has fallen significantly due to the sharp decline in energy prices. we will ensure favourable financing conditions throughout the pandemic. targeted longer term refinancing operations provide critical liquidity. the outlook is subject to exceptionally high uncertainty"
"ECB_20200713_acc",2020-07-13,"2020 Q3","covid","account","output declined sharply as lockdown measures took effect. disinflationary pressures reflect the severity of the downturn. price developments remain very weak amid depressed demand. targeted longer term refinancing operations provide critical liquidity. we will ensure favourable financing conditions throughout the pandemic. downside risks related to the pandemic remain elevated"
"ECB_20201014_pre",2020-10-14,"2020 Q4","covid","press_conf","output declined sharply as lockdown measures took effect. the recovery remains incomplete and subject to high uncertainty. inflation has fallen significantly due to the sharp decline in energy prices. price developments remain very weak amid depressed demand. all policy instruments are being used to support the economy. the governing council decided to launch the pandemic emergency purchase programme. the severity and duration of the health crisis are highly uncertain. the outlook is subject to exceptionally high uncertainty"
"ECB_20201017_pol",2020-10-17,"2020 Q4","covid","policy_statement","the economy faces severe disruption from containment measures. disinflationary pressures reflect the severity of the downturn. price developments remain very weak amid depressed demand. targeted longer term refinancing operations provide critical liquidity. all policy instruments are being used to support the economy. the outlook is subject to exceptionally high uncertainty. downside risks related to the pandemic remain elevated"
"ECB_20201012_acc",2020-10-12,"2020 Q4","covid","account","the recovery remains incomplete and subject to high uncertainty. disinflationary pressures reflect the severity of the downturn. targeted longer term refinancing operations provide critical liquidity. the governing council decided to launch the pandemic emergency purchase programme. downside risks related to the pandemic remain elevated. the severity and duration of the health crisis are highly uncertain"
"ECB_20210104_pre",2021-01-04,"2021 Q1","covid","press_conf","the pandemic has caused an unprecedented contraction in economic activity. output declined sharply as lockdown measures took effect. disinflationary pressures reflect the severity of the downturn. price developments remain very weak amid depressed demand. the PEPP envelope has been increased substantially. we will ensure favourable financing conditions throughout the pandemic. downside risks related to the pandemic remain elevated. the severity and duration of the health crisis are highly uncertain"
"ECB_20210104_pol",2021-01-04,"2021 Q1","covid","policy_statement","output declined sharply as lockdown measures took effect. the economy faces severe disruption from containment measures. disinflationary pressures reflect the severity of the downturn. price developments remain very weak amid depressed demand. the governing council decided to launch the pandemic emergency purchase programme. all policy instruments are being used to support the economy. financial vulnerabilities have increased significantly. the outlook is subject to exceptionally high uncertainty"
"ECB_20210107_acc",2021-01-07,"2021 Q1","covid","account","output declined sharply as lockdown measures took effect. the recovery remains incomplete and subject to high uncertainty. disinflationary pressures reflect the severity of the downturn. inflation has fallen significantly due to the sharp decline in energy prices. all policy instruments are being used to support the economy. the governing council decided to launch the pandemic emergency purchase programme. financial vulnerabilities have increased significantly"
"ECB_20210609_pre",2021-06-09,"2021 Q2","inflation_surge","press_conf","growth is expected to moderate as the reopening boost fades. inflation has risen sharply to levels well above our target. underlying price pressures have broadened and intensified. we will continue to raise rates significantly at a steady pace. the transmission of our tightening is being monitored closely. energy supply disruptions pose risks to the outlook. the war in Ukraine continues to create significant uncertainty"
"ECB_20210626_pol",2021-06-26,"2021 Q2","inflation_surge","policy_statement","labour markets have tightened considerably. inflation has risen sharply to levels well above our target. inflation expectations must remain firmly anchored at two percent. the transmission of our tightening is being monitored closely. asset purchase reinvestments will be reduced beginning next quarter. upside risks to inflation remain dominant"
"ECB_20210619_acc",2021-06-19,"2021 Q2","inflation_surge","account","the economy continues to expand despite supply chain disruptions. food and energy prices continue to drive headline inflation upward. the transmission of our tightening is being monitored closely. we will continue to raise rates significantly at a steady pace. second round effects through wages are a key concern. the war in Ukraine continues to create significant uncertainty"
"ECB_20210914_pre",2021-09-14,"2021 Q3","inflation_surge","press_conf","growth is expected to moderate as the reopening boost fades. underlying price pressures have broadened and intensified. headline inflation reached the highest level in decades driven by energy prices. we will continue to raise rates significantly at a steady pace. asset purchase reinvestments will be reduced beginning next quarter. the war in Ukraine continues to create significant uncertainty. upside risks to inflation remain dominant"
"ECB_20210912_pol",2021-09-12,"2021 Q3","inflation_surge","policy_statement","labour markets have tightened considerably. headline inflation reached the highest level in decades driven by energy prices. the governing council decided to raise interest rates by seventy five basis points. we will continue to raise rates significantly at a steady pace. upside risks to inflation remain dominant"
"ECB_20210906_acc",2021-09-06,"2021 Q3","inflation_surge","account","growth is expected to moderate as the reopening boost fades. wage growth has accelerated reflecting tight labour markets. we will continue to raise rates significantly at a steady pace. the governing council decided to raise interest rates by seventy five basis points. energy supply disruptions pose risks to the outlook"
"ECB_20211228_pre",2021-12-28,"2021 Q4","inflation_surge","press_conf","the economy continues to expand despite supply chain disruptions. economic activity has recovered strongly from the pandemic trough. headline inflation reached the highest level in decades driven by energy prices. the normalisation of monetary policy is proceeding as planned. the transmission of our tightening is being monitored closely. second round effects through wages are a key concern"
"ECB_20211130_pol",2021-11-30,"2021 Q4","inflation_surge","policy_statement","economic activity has recovered strongly from the pandemic trough. food and energy prices continue to drive headline inflation upward. asset purchase reinvestments will be reduced beginning next quarter. second round effects through wages are a key concern. the war in Ukraine continues to create significant uncertainty"
"ECB_20211225_acc",2021-12-25,"2021 Q4","inflation_surge","account","labour markets have tightened considerably. inflation has risen sharply to levels well above our target. food and energy prices continue to drive headline inflation upward. the transmission of our tightening is being monitored closely. the normalisation of monetary policy is proceeding as planned. energy supply disruptions pose risks to the outlook"
"ECB_20220330_pre",2022-03-30,"2022 Q1","inflation_surge","press_conf","economic activity has recovered strongly from the pandemic trough. food and energy prices continue to drive headline inflation upward. the transmission of our tightening is being monitored closely. we will continue to raise rates significantly at a steady pace. energy supply disruptions pose risks to the outlook"
"ECB_20220330_pol",2022-03-30,"2022 Q1","inflation_surge","policy_statement","the economy continues to expand despite supply chain disruptions. economic activity has recovered strongly from the pandemic trough. inflation expectations must remain firmly anchored at two percent. headline inflation reached the highest level in decades driven by energy prices. the transmission of our tightening is being monitored closely. the war in Ukraine continues to create significant uncertainty. upside risks to inflation remain dominant"
"ECB_20220306_acc",2022-03-06,"2022 Q1","inflation_surge","account","labour markets have tightened considerably. growth is expected to moderate as the reopening boost fades. food and energy prices continue to drive headline inflation upward. the governing council decided to raise interest rates by seventy five basis points. energy supply disruptions pose risks to the outlook"
"ECB_20220603_pre",2022-06-03,"2022 Q2","inflation_surge","press_conf","the economy continues to expand despite supply chain disruptions. economic activity has recovered strongly from the pandemic trough. underlying price pressures have broadened and intensified. headline inflation reached the highest level in decades driven by energy prices. we will continue to raise rates significantly at a steady pace. the normalisation of monetary policy is proceeding as planned. second round effects through wages are a key concern"
"ECB_20220601_pol",2022-06-01,"2022 Q2","inflation_surge","policy_statement","labour markets have tightened considerably. growth is expected to moderate as the reopening boost fades. inflation has risen sharply to levels well above our target. headline inflation reached the highest level in decades driven by energy prices. the normalisation of monetary policy is proceeding as planned. the war in Ukraine continues to create significant uncertainty"
"ECB_20220608_acc",2022-06-08,"2022 Q2","inflation_surge","account","growth is expected to moderate as the reopening boost fades. the economy continues to expand despite supply chain disruptions. headline inflation reached the highest level in decades driven by energy prices. wage growth has accelerated reflecting tight labour markets. the transmission of our tightening is being monitored closely. the war in Ukraine continues to create significant uncertainty. energy supply disruptions pose risks to the outlook"
"ECB_20220906_pre",2022-09-06,"2022 Q3","inflation_surge","press_conf","labour markets have tightened considerably. inflation expectations must remain firmly anchored at two percent. the normalisation of monetary policy is proceeding as planned. second round effects through wages are a key concern"
"ECB_20220904_pol",2022-09-04,"2022 Q3","inflation_surge","policy_statement","economic activity has recovered strongly from the pandemic trough. labour markets have tightened considerably. inflation has risen sharply to levels well above our target. the normalisation of monetary policy is proceeding as planned. the governing council decided to raise interest rates by seventy five basis points. upside risks to inflation remain dominant. second round effects through wages are a key concern"
"ECB_20220904_acc",2022-09-04,"2022 Q3","inflation_surge","account","labour markets have tightened considerably. food and energy prices continue to drive headline inflation upward. we will continue to raise rates significantly at a steady pace. the governing council decided to raise interest rates by seventy five basis points. second round effects through wages are a key concern. upside risks to inflation remain dominant"
"ECB_20221130_pre",2022-11-30,"2022 Q4","inflation_surge","press_conf","the economy continues to expand despite supply chain disruptions. labour markets have tightened considerably. wage growth has accelerated reflecting tight labour markets. headline inflation reached the highest level in decades driven by energy prices. asset purchase reinvestments will be reduced beginning next quarter. we will continue to raise rates significantly at a steady pace. second round effects through wages are a key concern. upside risks to inflation remain dominant"
"ECB_20221203_pol",2022-12-03,"2022 Q4","inflation_surge","policy_statement","labour markets have tightened considerably. growth is expected to moderate as the reopening boost fades. headline inflation reached the highest level in decades driven by energy prices. food and energy prices continue to drive headline inflation upward. we will continue to raise rates significantly at a steady pace. the normalisation of monetary policy is proceeding as planned. the war in Ukraine continues to create significant uncertainty. energy supply disruptions pose risks to the outlook"
