"doc_id","date","quarter","phase","statement_type","text","llm_score","llm_justification","llm_status"
"ECB_20160119_pre",2016-01-19,"2016 Q1","low_rate","press_conf","domestic demand remains the main driver of growth. economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. inflation remains well below our target of two percent. we reaffirm our forward guidance on the key interest rates. risks to the growth outlook remain broadly balanced",-0.2,"The statement reflects a cautious stance, highlighting persistent inflation shortfalls and a moderate recovery, though balanced by stable growth risks and a commitment to existing forward guidance.","success"
"ECB_20160116_pol",2016-01-16,"2016 Q1","low_rate","policy_statement","economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty. risks to the growth outlook remain broadly balanced",-0.2,"The statement balances a moderate recovery with persistent inflation concerns and heightened global uncertainty, resulting in a slightly cautious, wait-and-see policy stance.","success"
"ECB_20160102_acc",2016-01-02,"2016 Q1","low_rate","account","growth momentum remains resilient despite global uncertainties. economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. underlying inflation continues to lack a convincing upward trend. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring",-0.2,"The statement balances resilient growth with concerns over subdued inflation and external risks, resulting in a slightly cautious, wait-and-see policy bias.","success"
"ECB_20160423_pre",2016-04-23,"2016 Q2","low_rate","press_conf","business investment has strengthened gradually. growth momentum remains resilient despite global uncertainties. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. net asset purchases will continue as long as necessary. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced",0.6,"The statement conveys a confident and supportive tone, highlighting resilient growth and a commitment to maintaining an accommodative policy stance to reach inflation targets.","success"
"ECB_20160401_pol",2016-04-01,"2016 Q2","low_rate","policy_statement","economic recovery continues at a moderate pace. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. global trade tensions have increased uncertainty",-0.2,"The statement reflects a cautious outlook, balancing moderate growth and investment against persistent concerns regarding core inflation, subdued price pressures, and heightened global uncertainty.","success"
"ECB_20160403_acc",2016-04-03,"2016 Q2","low_rate","account","business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. we reaffirm our forward guidance on the key interest rates. protectionist threats warrant close monitoring",0.2,"The statement balances positive signals regarding business investment and subdued inflation with a cautious, neutral stance on forward guidance and external risks.","success"
"ECB_20160728_pre",2016-07-28,"2016 Q3","low_rate","press_conf","the euro area economy expanded in line with expectations. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring. geopolitical uncertainties continue to pose downside risks",0.1,"The statement balances positive signals regarding economic expansion and investment with cautious language concerning inflation persistence and external geopolitical risks, resulting in a slightly optimistic but guarded stance.","success"
"ECB_20160711_pol",2016-07-11,"2016 Q3","low_rate","policy_statement","economic recovery continues at a moderate pace. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty",-0.4,"The statement emphasizes persistent downside risks, lack of inflationary momentum, and continued reliance on accommodative measures, reflecting a cautious and dovish outlook.","success"
"ECB_20160713_acc",2016-07-13,"2016 Q3","low_rate","account","economic recovery continues at a moderate pace. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. our asset purchase programme continues at the current monthly pace. global trade tensions have increased uncertainty",-0.2,"While the statement acknowledges moderate growth and domestic demand, the emphasis on subdued price pressures and heightened global uncertainty introduces a cautious, slightly dovish bias.","success"
"ECB_20161024_pre",2016-10-24,"2016 Q4","low_rate","press_conf","economic recovery continues at a moderate pace. the euro area economy expanded in line with expectations. inflation remains well below our target of two percent. the accommodative monetary policy stance supports the recovery. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring. global trade tensions have increased uncertainty",-0.2,"While the statement acknowledges a moderate recovery and maintains an accommodative stance, the emphasis on inflation remaining below target and the explicit concerns regarding protectionism and global uncertainty tilt the tone toward a cautious, dovish bias.","success"
"ECB_20161009_pol",2016-10-09,"2016 Q4","low_rate","policy_statement","growth momentum remains resilient despite global uncertainties. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the governing council decided to keep interest rates unchanged. the accommodative monetary policy stance supports the recovery. geopolitical uncertainties continue to pose downside risks",0.1,"The statement balances resilient domestic growth and an accommodative stance against persistent inflation weakness and downside geopolitical risks, resulting in a slightly positive but cautious outlook.","success"
"ECB_20161010_acc",2016-10-10,"2016 Q4","low_rate","account","economic recovery continues at a moderate pace. underlying inflation continues to lack a convincing upward trend. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring",-0.2,"The statement reflects a cautious outlook, balancing moderate growth against persistent concerns regarding weak inflation trends and external protectionist risks.","success"
"ECB_20170127_pre",2017-01-27,"2017 Q1","low_rate","press_conf","business investment has strengthened gradually. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. net asset purchases will continue as long as necessary. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring",-0.4,"The statement reflects a cautious stance, balancing modest growth improvements against persistent concerns regarding subdued inflation, geopolitical risks, and protectionism.","success"
"ECB_20170115_pol",2017-01-15,"2017 Q1","low_rate","policy_statement","business investment has strengthened gradually. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring",-0.3,"While business investment shows improvement, the persistent lack of upward inflation momentum and the emphasis on downside risks from geopolitics and protectionism maintain a cautious, dovish bias.","success"
"ECB_20170118_acc",2017-01-18,"2017 Q1","low_rate","account","domestic demand remains the main driver of growth. economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. geopolitical uncertainties continue to pose downside risks. risks to the growth outlook remain broadly balanced",0.1,"The statement maintains a neutral stance by balancing moderate growth and stable domestic demand against persistent geopolitical downside risks and subdued inflation.","success"
"ECB_20170421_pre",2017-04-21,"2017 Q2","low_rate","press_conf","the euro area economy expanded in line with expectations. economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the accommodative monetary policy stance supports the recovery. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty",-0.2,"While the policy stance remains accommodative, the emphasis on the lack of sustained inflation convergence and the rising uncertainty from global trade tensions introduces a cautious, slightly dovish bias.","success"
"ECB_20170411_pol",2017-04-11,"2017 Q2","low_rate","policy_statement","domestic demand remains the main driver of growth. growth momentum remains resilient despite global uncertainties. inflation remains well below our target of two percent. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty",-0.3,"While domestic growth is described as resilient, the persistent undershooting of the inflation target and the emphasis on global uncertainties and trade tensions necessitate a cautious, accommodative policy stance.","success"
"ECB_20170425_acc",2017-04-25,"2017 Q2","low_rate","account","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. geopolitical uncertainties continue to pose downside risks",-0.2,"While the statement acknowledges resilient growth and investment, the persistent focus on inflation remaining well below target and the emphasis on downside geopolitical risks creates a slightly cautious, dovish bias.","success"
"ECB_20170721_pre",2017-07-21,"2017 Q3","low_rate","press_conf","the euro area economy expanded in line with expectations. growth momentum remains resilient despite global uncertainties. core inflation has yet to show sustained signs of convergence. we reaffirm our forward guidance on the key interest rates. global trade tensions have increased uncertainty",0.1,"The statement balances resilient growth and steady policy guidance against persistent core inflation and rising external risks, resulting in a slightly cautious but overall neutral stance.","success"
"ECB_20170723_pol",2017-07-23,"2017 Q3","low_rate","policy_statement","domestic demand remains the main driver of growth. growth momentum remains resilient despite global uncertainties. inflation remains well below our target of two percent. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. protectionist threats warrant close monitoring",-0.4,"The statement reflects a dovish bias by highlighting persistent inflation undershooting and external risks, despite acknowledging resilient domestic growth.","success"
"ECB_20170722_acc",2017-07-22,"2017 Q3","low_rate","account","the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. risks to the growth outlook remain broadly balanced",-0.2,"The statement maintains a cautious tone by highlighting persistent core inflation and geopolitical downside risks, despite the neutral assessment of growth.","success"
"ECB_20171022_pre",2017-10-22,"2017 Q4","low_rate","press_conf","the euro area economy expanded in line with expectations. economic recovery continues at a moderate pace. inflation remains well below our target of two percent. our asset purchase programme continues at the current monthly pace. the accommodative monetary policy stance supports the recovery. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring",-0.2,"While the statement acknowledges a moderate recovery and maintains an accommodative stance, the emphasis on inflation remaining below target and the explicit mention of downside risks from geopolitical and protectionist factors tilt the sentiment toward a cautious, dovish bias.","success"
"ECB_20171024_pol",2017-10-24,"2017 Q4","low_rate","policy_statement","economic recovery continues at a moderate pace. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the governing council decided to keep interest rates unchanged. net asset purchases will continue as long as necessary. geopolitical uncertainties continue to pose downside risks",-0.2,"The statement balances moderate growth signals with persistent concerns regarding inflation trends and geopolitical downside risks, resulting in a cautious, wait-and-see policy stance.","success"
"ECB_20171012_acc",2017-10-12,"2017 Q4","low_rate","account","growth momentum remains resilient despite global uncertainties. underlying inflation continues to lack a convincing upward trend. price pressures remain subdued reflecting low energy prices. our asset purchase programme continues at the current monthly pace. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring. risks to the growth outlook remain broadly balanced",0.2,"The statement maintains a moderately accommodative stance by highlighting resilient growth and supportive policy, while tempering optimism with concerns over subdued inflation and global protectionist risks.","success"
"ECB_20180124_pre",2018-01-24,"2018 Q1","low_rate","press_conf","economic recovery continues at a moderate pace. growth momentum remains resilient despite global uncertainties. price pressures remain subdued reflecting low energy prices. our asset purchase programme continues at the current monthly pace. we reaffirm our forward guidance on the key interest rates. protectionist threats warrant close monitoring",0.2,"The statement maintains a balanced, slightly optimistic tone by highlighting resilient growth and stable policy, though it is tempered by cautious references to global uncertainties and protectionism.","success"
"ECB_20180129_pol",2018-01-29,"2018 Q1","low_rate","policy_statement","domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. we reaffirm our forward guidance on the key interest rates. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty",-0.3,"The statement reflects a cautious stance by highlighting persistent uncertainty from global trade tensions and the lack of sustained core inflation convergence, despite the reliance on domestic demand.","success"
"ECB_20180124_acc",2018-01-24,"2018 Q1","low_rate","account","growth momentum remains resilient despite global uncertainties. economic recovery continues at a moderate pace. inflation remains well below our target of two percent. we reaffirm our forward guidance on the key interest rates. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty",-0.3,"While the statement acknowledges resilient growth, the persistent focus on inflation undershooting the target and the emphasis on geopolitical and trade-related downside risks creates a cautious, dovish bias.","success"
"ECB_20180425_pre",2018-04-25,"2018 Q2","low_rate","press_conf","business investment has strengthened gradually. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. net asset purchases will continue as long as necessary. protectionist threats warrant close monitoring. geopolitical uncertainties continue to pose downside risks",-0.2,"While domestic demand and investment show signs of growth, the emphasis on persistent core inflation weakness and significant downside risks from geopolitical and protectionist factors creates a cautious, slightly dovish bias.","success"
"ECB_20180419_pol",2018-04-19,"2018 Q2","low_rate","policy_statement","the euro area economy expanded in line with expectations. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. price pressures remain subdued reflecting low energy prices. we reaffirm our forward guidance on the key interest rates. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks",0.2,"The statement maintains a moderately accommodative tone by reaffirming existing policy support, though it is tempered by cautious language regarding core inflation and geopolitical downside risks.","success"
"ECB_20180418_acc",2018-04-18,"2018 Q2","low_rate","account","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. inflation remains well below our target of two percent. price pressures remain subdued reflecting low energy prices. net asset purchases will continue as long as necessary. our asset purchase programme continues at the current monthly pace. global trade tensions have increased uncertainty",-0.2,"While growth is described as resilient, the persistent failure to meet the inflation target and the emphasis on global trade uncertainties necessitate a cautious, accommodative stance.","success"
"ECB_20180705_pre",2018-07-05,"2018 Q3","low_rate","press_conf","domestic demand remains the main driver of growth. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. risks to the growth outlook remain broadly balanced. protectionist threats warrant close monitoring",-0.2,"The statement reflects a cautious stance, balancing a neutral growth outlook with concerns over persistent low inflation and external protectionist risks.","success"
"ECB_20180722_pol",2018-07-22,"2018 Q3","low_rate","policy_statement","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. protectionist threats warrant close monitoring",0.1,"The statement balances positive indicators regarding growth and investment with cautious observations on core inflation and external risks, resulting in a slightly optimistic but guarded neutral stance.","success"
"ECB_20180703_acc",2018-07-03,"2018 Q3","low_rate","account","economic recovery continues at a moderate pace. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. risks to the growth outlook remain broadly balanced",-0.2,"The statement reflects a cautious stance by highlighting the lack of a convincing inflation trend and maintaining open-ended asset purchases, despite the moderate recovery and balanced growth risks.","success"
"ECB_20181007_pre",2018-10-07,"2018 Q4","low_rate","press_conf","business investment has strengthened gradually. domestic demand remains the main driver of growth. inflation remains well below our target of two percent. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty",-0.3,"While domestic demand shows some resilience, the persistent undershooting of the inflation target combined with explicit concerns regarding geopolitical risks and trade tensions creates a cautious and dovish outlook.","success"
"ECB_20181002_pol",2018-10-02,"2018 Q4","low_rate","policy_statement","business investment has strengthened gradually. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. risks to the growth outlook remain broadly balanced",-0.4,"The statement reflects a cautious stance, highlighting that inflation remains persistently below target and price pressures are subdued, despite the neutral assessment of growth risks.","success"
"ECB_20181015_acc",2018-10-15,"2018 Q4","low_rate","account","growth momentum remains resilient despite global uncertainties. domestic demand remains the main driver of growth. price pressures remain subdued reflecting low energy prices. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks",0.1,"The statement balances resilient domestic growth and stable policy settings against persistent downside risks from geopolitical factors and the lack of sustained core inflation convergence.","success"
"ECB_20190101_pre",2019-01-01,"2019 Q1","low_rate","press_conf","the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. we reaffirm our forward guidance on the key interest rates. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced",0.2,"The statement maintains a moderately accommodative stance by reaffirming existing policy support and balanced growth risks, though it remains cautious regarding the lack of sustained upward momentum in core inflation.","success"
"ECB_20190101_pol",2019-01-01,"2019 Q1","low_rate","policy_statement","economic recovery continues at a moderate pace. the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. we reaffirm our forward guidance on the key interest rates. protectionist threats warrant close monitoring",-0.2,"The statement reflects a cautious outlook, balancing moderate growth with concerns over persistent inflation weakness and external risks, leading to a slightly dovish, wait-and-see stance.","success"
"ECB_20190123_acc",2019-01-23,"2019 Q1","low_rate","account","economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. underlying inflation continues to lack a convincing upward trend. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring",0.2,"The statement balances a positive outlook on recovery and supportive policy with cautious observations regarding persistent low inflation and external protectionist risks.","success"
"ECB_20190407_pre",2019-04-07,"2019 Q2","low_rate","press_conf","domestic demand remains the main driver of growth. the euro area economy expanded in line with expectations. underlying inflation continues to lack a convincing upward trend. the governing council decided to keep interest rates unchanged. risks to the growth outlook remain broadly balanced. global trade tensions have increased uncertainty",-0.2,"While growth is described as stable, the emphasis on the lack of upward inflation trends and the heightened uncertainty from global trade tensions tilts the tone toward a cautious, wait-and-see stance.","success"
"ECB_20190331_pol",2019-03-31,"2019 Q1","low_rate","policy_statement","business investment has strengthened gradually. economic recovery continues at a moderate pace. inflation remains well below our target of two percent. underlying inflation continues to lack a convincing upward trend. net asset purchases will continue as long as necessary. we reaffirm our forward guidance on the key interest rates. geopolitical uncertainties continue to pose downside risks",-0.3,"While the statement acknowledges moderate recovery, the emphasis on inflation remaining below target, the lack of a convincing upward trend in underlying inflation, and the focus on downside risks reflect a cautious and accommodative stance.","success"
"ECB_20190429_acc",2019-04-29,"2019 Q2","low_rate","account","domestic demand remains the main driver of growth. the euro area economy expanded in line with expectations. underlying inflation continues to lack a convincing upward trend. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty",-0.3,"The statement reflects a cautious stance, balancing steady domestic growth against persistent concerns regarding weak underlying inflation and heightened global trade uncertainty.","success"
"ECB_20190705_pre",2019-07-05,"2019 Q3","low_rate","press_conf","growth momentum remains resilient despite global uncertainties. domestic demand remains the main driver of growth. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks",0.2,"The statement maintains a cautiously optimistic tone by highlighting resilient growth and supportive policy, while tempering this with acknowledgments of persistent inflation and geopolitical downside risks.","success"
"ECB_20190722_pol",2019-07-22,"2019 Q3","low_rate","policy_statement","economic recovery continues at a moderate pace. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks. protectionist threats warrant close monitoring",-0.4,"The statement reflects a cautious tone by highlighting persistent inflation shortfalls, the lack of core price momentum, and significant downside risks from geopolitical and protectionist factors.","success"
"ECB_20190720_acc",2019-07-20,"2019 Q3","low_rate","account","the euro area economy expanded in line with expectations. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. our asset purchase programme continues at the current monthly pace. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks",-0.2,"While the policy stance is explicitly accommodative, the emphasis on inflation remaining well below target and the presence of geopolitical downside risks tilt the tone toward a cautious, dovish bias.","success"
"ECB_20191006_pre",2019-10-06,"2019 Q4","low_rate","press_conf","the euro area economy expanded in line with expectations. underlying inflation continues to lack a convincing upward trend. inflation remains well below our target of two percent. we reaffirm our forward guidance on the key interest rates. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced. protectionist threats warrant close monitoring",-0.2,"While the tone is balanced regarding growth, the explicit admission that inflation lacks a convincing upward trend and remains below target signals a cautious, dovish bias.","success"
"ECB_20191030_pol",2019-10-30,"2019 Q4","low_rate","policy_statement","economic recovery continues at a moderate pace. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. geopolitical uncertainties continue to pose downside risks",-0.4,"The statement reflects a cautious tone by highlighting persistent inflation shortfalls, the lack of core price momentum, and ongoing downside risks from geopolitical factors.","success"
"ECB_20191006_acc",2019-10-06,"2019 Q4","low_rate","account","the euro area economy expanded in line with expectations. business investment has strengthened gradually. core inflation has yet to show sustained signs of convergence. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. our asset purchase programme continues at the current monthly pace. risks to the growth outlook remain broadly balanced. geopolitical uncertainties continue to pose downside risks",-0.2,"The statement reflects a cautious, wait-and-see approach, balancing moderate economic growth against persistent concerns regarding below-target inflation and external geopolitical risks.","success"
"ECB_20200114_pre",2020-01-14,"2020 Q1","covid","press_conf","the pandemic has caused an unprecedented contraction in economic activity. the recovery remains incomplete and subject to high uncertainty. price developments remain very weak amid depressed demand. disinflationary pressures reflect the severity of the downturn. targeted longer term refinancing operations provide critical liquidity. downside risks related to the pandemic remain elevated. the severity and duration of the health crisis are highly uncertain",-0.7,"The statement uses consistently pessimistic language focusing on economic contraction, weak price developments, and high uncertainty, reflecting a defensive and cautious monetary policy stance.","success"
"ECB_20200118_pol",2020-01-18,"2020 Q1","covid","policy_statement","the recovery remains incomplete and subject to high uncertainty. the economy faces severe disruption from containment measures. disinflationary pressures reflect the severity of the downturn. the PEPP envelope has been increased substantially. financial vulnerabilities have increased significantly. the outlook is subject to exceptionally high uncertainty",-0.8,"The statement is heavily weighted toward crisis-level language, emphasizing severe economic disruption, disinflationary risks, and extreme uncertainty, which necessitates aggressive policy intervention.","success"
"ECB_20200108_acc",2020-01-08,"2020 Q1","covid","account","the recovery remains incomplete and subject to high uncertainty. the pandemic has caused an unprecedented contraction in economic activity. inflation has fallen significantly due to the sharp decline in energy prices. disinflationary pressures reflect the severity of the downturn. the PEPP envelope has been increased substantially. the severity and duration of the health crisis are highly uncertain",-0.8,"The statement is heavily weighted toward crisis-era terminology, emphasizing economic contraction, high uncertainty, and significant disinflationary pressures that necessitate substantial policy intervention.","success"
"ECB_20200409_pre",2020-04-09,"2020 Q2","covid","press_conf","the economy faces severe disruption from containment measures. output declined sharply as lockdown measures took effect. price developments remain very weak amid depressed demand. we will ensure favourable financing conditions throughout the pandemic. the outlook is subject to exceptionally high uncertainty. financial vulnerabilities have increased significantly",-0.7,"The statement uses heavily pessimistic language regarding economic contraction and uncertainty, with the commitment to favourable financing conditions serving as a necessary crisis-response measure rather than an expression of confidence.","success"
"ECB_20200405_pol",2020-04-05,"2020 Q2","covid","policy_statement","the pandemic has caused an unprecedented contraction in economic activity. the economy faces severe disruption from containment measures. price developments remain very weak amid depressed demand. the governing council decided to launch the pandemic emergency purchase programme. the severity and duration of the health crisis are highly uncertain",-0.8,"The statement uses highly pessimistic language regarding economic contraction and uncertainty, signaling a defensive and reactive policy stance in response to a severe crisis.","success"
"ECB_20200410_acc",2020-04-10,"2020 Q2","covid","account","the economy faces severe disruption from containment measures. the recovery remains incomplete and subject to high uncertainty. disinflationary pressures reflect the severity of the downturn. we will ensure favourable financing conditions throughout the pandemic. the governing council decided to launch the pandemic emergency purchase programme. downside risks related to the pandemic remain elevated",-0.7,"The statement uses highly cautious language emphasizing severe economic disruption, incomplete recovery, and elevated downside risks, necessitating emergency intervention.","success"
